EkspertizAI — Ekspertiz İstasyon Veri Giriş Tablosu,,,,,,,,,,,,,,,,,,,
"⚠ Sarı alanlar zorunludur. | Google Rating: Google Maps puanı (1-5) | Sponsor Seviyesi: 0=Ücretsiz, 1=Basic (500₺/ay), 2=Premium (1000₺/ay)",,,,,,,,,,,,,,,,,,,
Ad *,Franchise,İl *,İlçe *,Adres,Telefon *,Telefon 2,E-posta,Website,Google Maps URL,Google Rating,Enlem,Boylam,"Aktif mi?
(EVET/HAYIR)","Sponsorlu mu?
(EVET/HAYIR)","Sponsor
Seviyesi
(0/1/2)","Sponsor
Başlangıç
(GG.AA.YYYY)","Sponsor
Bitiş
(GG.AA.YYYY)",Notlar,"Google
Place ID"
Pilot Garage Döşemealtı Oto Ekspertiz,Pilot Garage,Antalya,Döşemealtı,"Bahçeyaka, Atatürk Cd. No:445/B, 07190 Döşemealtı/Antalya, Türkiye",0545 440 30 65,,,,https://maps.google.com/?cid=1395936888784261700&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Dynobil Şentürk Oto Ekspertiz,Dynobil,Antalya,Elmalı,"Karyağdı, 07700 Elmalı/Antalya, Türkiye",0535 445 51 23,,,,https://maps.google.com/?cid=6983759551347144487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
DYNOBİL Finike Oto Ekspertiz,Bağımsız,Antalya,Finike,"Yenimahalle Fatih Bulv. Park Finike Konutları A Blok No: 23A/14, Yeni, 07740 Finike/Antalya, Türkiye",0546 290 00 03,,,,https://maps.google.com/?cid=9533294008444148601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Auto King - Antalya Gazipaşa Oto Ekspertiz,Auto King,Antalya,Gazipaşa,"Pazarcı, Ulusal EGemenlik Blv No:45, 07900 Gazipaşa/Antalya, Türkiye",0539 630 05 23,,,,https://maps.google.com/?cid=13207659712172415768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
KURUMSAL TSE ONAYLI Oto Ekspertiz Gazipaşa,Bağımsız,Antalya,Gazipaşa,"Pazarcı mah ulusal egemenlik bulvarı muhterem apt, Pazarcı, no 3, 07900 Gazipaşa/Antalya, Türkiye",0539 630 05 23,,,,https://maps.google.com/?cid=4825021827755033094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Gazipaşa Oto Analiz Ekspertiz,Bağımsız,Antalya,Gazipaşa,"Pazarcı, Ulusal EGemenlik Blv 45/4, 07900 Gazipaşa/Antalya, Türkiye",0553 813 07 50,,,,https://maps.google.com/?cid=8912913952542580231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Pilot Garage Gazipaşa Oto Ekspertiz,Pilot Garage,Antalya,Gazipaşa,"Yeni Mh, Rıza Büyükakça Cd No: 16, 07900 Gazipaşa/Antalya, Türkiye",0533 603 50 18,,,,https://maps.google.com/?cid=194553857918771287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,5",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz Kurumsal Firma ve Eksoz Emisyon Ölçüm İstasyonu,Pilot Garage,Antalya,Gazipaşa,"Yeni Mahalle, Rıza Büyükakça Caddesi, No:16 SGK ve Tapu Müdürlüğü karşısı gazipasadynomarkotoekspertiz@gmail.com, Yeni, 07900 Gazipaşa/Antalya, Türkiye",0533 377 22 70,,,,https://maps.google.com/?cid=9011654108203646173&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Pilot Garage Kepez Çevreyolu Oto Ekspertiz,Pilot Garage,Antalya,Kepez,"Karşısı, Emek, Yeşilırmak Cd. Kepez Belediyesi No:3/A, 07300 Kepez/Antalya, Türkiye",0544 536 25 58,,,,https://maps.google.com/?cid=14520619299380856766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
DYNOMOSS Oto Ekspertiz | ANTALYA,Bağımsız,Antalya,Kepez,"Gazi Bulvarı İzzet Doğan İş Merkezi No:469, Göksu, D:1, 07260 Kepez/Antalya, Türkiye",444 5 643,,,,https://maps.google.com/?cid=13570520796447360038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Otorapor Antalya Kepez Altınova Oto Ekspertiz,Otorapor,Antalya,Kepez,"Altınova Corner, Sinan Mahallesi, Antalya Cd., 07170 Kepez/Antalya, Türkiye",0532 424 41 91,,,,https://maps.google.com/?cid=13212546310676566988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Otorapor Antalya Kepez Kültür Oto Ekspertiz,Otorapor,Antalya,Kepez,"Antalya TR, Kültür, 75. Yıl Cd. No:68, 07090 Kepez/Antalya, Türkiye",0546 850 00 07,,,,https://maps.google.com/?cid=5635035802558844419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
PRİME COMPUTEST KEMER OTO EKSPERTİZ,Computest,Antalya,Kemer,"Yeni, Akdeniz Cd. NO:30 F, 07980 Kemer/Antalya, Türkiye",0505 082 75 00,,,,https://maps.google.com/?cid=2116368441728650774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Dynobil | Antalya Kepez Oto Ekspertiz,Dynobil,Antalya,Kepez,"Kültür, 75. Yıl Cd. No:64-A, 07090 Kepez/Antalya, Türkiye",0544 516 93 61,,,,https://maps.google.com/?cid=13542315406359851267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Garantili Arabam Antalya Oto Ekspertiz Yükseliş,Bağımsız,Antalya,Kepez,"YÜKSELİŞ MAH. GAZİ BULVARI, Yükseliş, 2123. Sk. NO : 159, 07090 Kepez/Antalya, Türkiye",0542 826 91 68,,,,https://maps.google.com/?cid=2545013539705986172&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Antalya Oto Experim Oto Ekspertiz,Bağımsız,Antalya,Kepez,"Şafak, 75. Yıl Cd. No: 103, 07220 Kepez/Antalya, Türkiye",(0242) 255 05 15,,,,https://maps.google.com/?cid=13587494379107505943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Hospitacar Yetkili Oto Ekspertiz,Bağımsız,Antalya,Kepez,"Mahallesi, Yeni Emek, Aliya Izzet Begoviç Cd No:130 D:F, 07060 Kepez/Antalya, Türkiye",0539 661 67 72,,,,https://maps.google.com/?cid=8348999384915442591&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Dynobil Antalya Oto Ekspertiz | Kepez Sakarya Blv Emek Mah. No:310/A,Dynobil,Antalya,Kepez,"EMEK MAHALLESİ SAKARYA BULVARI 310/A KEPEZ ANTALYA NO:310/A, SAKARYA PARKI KARŞISI, Emek, 07060 Kepez/Antalya, Türkiye",0532 130 78 15,,,,https://maps.google.com/?cid=14122618471630112968&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
RS Antalya Kepez Oto Ekspertiz,Bağımsız,Antalya,Kepez,"Şafak, 75. Yıl Cd. No:111A, 07220 Kepez/Antalya, Türkiye",0850 480 2662,,,,https://maps.google.com/?cid=4485578160435993936&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Garantili Arabam Antalya Kepez 4X4 - 4X2 Oto Ekspertiz,Bağımsız,Antalya,Kepez,"Mehmet Akif Ersoy, Mehmet Atay Cd. NO37, 07320 Kepez/Antalya, Türkiye",0532 553 87 52,,,,https://maps.google.com/?cid=7836810022290770547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Tarcanlar Antalya Oto Ekspertiz,Bağımsız,Antalya,Kepez,"Altınova Sinan, Antalya Cd. No:8/C, 07170 Kepez/Antalya, Türkiye",0540 439 07 07,,,,https://maps.google.com/?cid=18121227513511793829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Auto King - Antalya Kepez Kültür Oto Ekspertiz,Auto King,Antalya,Kepez,"Kültür, 75. Yıl Cd. No:52C, 07090 Kepez/Antalya, Türkiye",0532 250 77 93,,,,https://maps.google.com/?cid=15614631805406874587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Dynomoss Oto Ekspertiz Muratpaşa,Bağımsız,Antalya,Muratpaşa,"Cumhuriyet, 645. Sk. No: 4/D, 07010 Muratpaşa/Antalya, Türkiye",0555 017 58 07,,,,https://maps.google.com/?cid=17043395216015939262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Otorapor Antalya Muratpaşa Mevlana Oto Ekspertiz,Otorapor,Antalya,Muratpaşa,"Etiler, Evliya Çelebi Cd. No: 12 G D7, 07010 Muratpaşa/Antalya, Türkiye",0541 476 30 65,,,,https://maps.google.com/?cid=10207835326549601289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
OTOKONTROL Antalya Oto Ekspertiz Merkezi,Bağımsız,Antalya,Muratpaşa,"Sedir, Gazi Blv. No:88/B, 07010 Muratpaşa/Antalya, Türkiye",0532 343 34 11,,,,https://maps.google.com/?cid=9093826246814426789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Aspendos Pilot Garage Oto Ekspertiz ve Servis,Pilot Garage,Antalya,Muratpaşa,"Ünallar İş Merkezi, Tarım, Perge Blv. No:13/A, 07000 Muratpaşa/Antalya, Türkiye",0544 303 32 79,,,,https://maps.google.com/?cid=17680406729166188865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Pilot Garage Akdeniz Sanayi Oto Ekspertiz 4X2 4X4 TSE HYB,Pilot Garage,Antalya,Kepez,"Akdeniz Sanayi Sitesi, Şafak, 75. Yıl Cd. No: 161, 07220 Kepez/Antalya, Türkiye",0506 652 17 74,,,,https://maps.google.com/?cid=2815352851542426298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
PİLOT GARAGE KORKUTELİ OTO EKSPERTİZ,Bağımsız,Antalya,Korkuteli,"1439 sokak no:1 Antalya TR, Uzunoluk, 1439 sok no:1A, 07800 Korkuteli/Antalya, Türkiye",0532 727 65 15,,,,https://maps.google.com/?cid=13740102945819584878&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Kumluca Oto Ekspertiz,Bağımsız,Antalya,Kumluca,"Karşıyaka Palmiye Sk, Karşıyaka, 502. Sk. No:12, 07350 Kumluca/Antalya, Türkiye",,,,,https://maps.google.com/?cid=15644721958483448845&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Pilot Garage Kumluca Oto Ekspertiz,Pilot Garage,Antalya,Kumluca,"Karşıyaka Mahallesi Kocakesik Sokak, Karşıyaka, 500. Sk. Sanayi Sitesi no: 2/500-4, 07350 Kumluca/Antalya, Türkiye",0553 937 29 07,,,,https://maps.google.com/?cid=12717893524278021442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
DYNOBİL KUMLUCA OTO EKSPERTİZ YETKİLİ BAYİ(Güvenilir ekspertiz noktası),Bağımsız,Antalya,Kumluca,"Meydan mahallesi, Ahmet Ali Ağa Blv. No:77, 07350 Kumluca/Antalya, Türkiye",0553 644 77 43,,,,https://maps.google.com/?cid=16458542228345076568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Kumluca Fatih Oto Ekspertiz,Bağımsız,Antalya,Kumluca,"Karşıyaka, 07370 Kumluca/Antalya, Türkiye",0532 307 62 82,,,,https://maps.google.com/?cid=4143396747250838167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,2",,,EVET,HAYIR,0,,,,
Garantili Arabam Oto Ekspertiz - Manavgat Bahçelievler,Bağımsız,Antalya,Manavgat,"Bahçelievler, Çetin Emeç Cd. No:10, 07600 Manavgat/Antalya, Türkiye",0543 304 77 77,,,,https://maps.google.com/?cid=2084311583563301125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Computest Manavgat Oto Ekspertiz,Computest,Antalya,Manavgat,"Ilıca, 133. Sokak A Blok No: 16, 07600 Manavgat/Antalya, Türkiye",0531 420 27 99,,,,https://maps.google.com/?cid=6233979255407059446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
Garantili Arabam Oto Ekspertiz - Manavgat Sanayi,Bağımsız,Antalya,Manavgat,"Sanayi, 2005. Sk. No:47, 07600 Manavgat/Antalya, Türkiye",0535 781 53 22,,,,https://maps.google.com/?cid=16416047497627823604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Otorapor Antalya Manavgat Oto Ekspertiz,Otorapor,Antalya,Manavgat,"Ilıca, 132. Sokak Ticaret Merkezi A- blok N0: 11, 07600 Manavgat/Antalya, Türkiye",0555 169 89 19,,,,https://maps.google.com/?cid=5648965653189272940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
DYNOBİL Manavgat Oto Ekspertiz,Bağımsız,Antalya,Manavgat,"Aşağı Pazarcı, 1555. Sk. No:1, 07600 Manavgat/Antalya, Türkiye",0538 737 27 37,,,,https://maps.google.com/?cid=5069074824071446203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Vizyon Garage Manavgat Oto Ekspertiz,Bağımsız,Antalya,Manavgat,"Sorgun, 8142 Sok 2/1, 07600 Manavgat/Antalya, Türkiye",0539 657 97 95,,,,https://maps.google.com/?cid=17381690229347158203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Manavgat Experix Kurumsal Oto Ekspertiz,Bağımsız,Antalya,Manavgat,"Aşağı Pazarcı, Fevzi Paşa Cd. No:166, 07600 Manavgat/Antalya, Türkiye",0530 388 71 07,,,,https://maps.google.com/?cid=11102971460951316494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
MANAVGAT OTO ANALİZ EXPERTİZ (Otogar şube),Bağımsız,Antalya,Manavgat,"Sorgun, Sorgun Blv. No:91, 07600 Manavgat/Antalya, Türkiye",0505 085 07 07,,,,https://maps.google.com/?cid=14184376619444138766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
Otorapor Antalya Muratpaşa Termesos Oto Ekspertiz,Otorapor,Antalya,Muratpaşa,"Mehmetçik Mah. Termesos Bulvarı Ofis 24 İş Merkezi No:18 A1 Blok B, Mehmetçik, 07300 Muratpaşa/Antalya, Türkiye",0507 017 38 49,,,,https://maps.google.com/?cid=9771547934833702961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Muratpaşa Oto Ekspertiz,Bağımsız,Antalya,Muratpaşa,"Mehmetçik, Termesos Blv. No:2, 07300 Muratpaşa/Antalya, Türkiye",0551 044 04 19,,,,https://maps.google.com/?cid=5483888138700617039&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Antalya Oto Ekspert,Bağımsız,Antalya,Muratpaşa,"Cumhuriyet, 667. Sk. Eski Sanayi Sitesi No 8, 07010 Muratpaşa/Antalya, Türkiye",0535 219 54 36,,,,https://maps.google.com/?cid=606454365413957873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Auto King - Antalya Muratpaşa Oto Ekspertiz,Auto King,Antalya,Muratpaşa,"Yenigün, Mevlana Cd. Ömür Apt No: 34/A, 07300 Muratpaşa/Antalya, Türkiye",0551 454 07 37,,,,https://maps.google.com/?cid=2284493088389031216&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
RS Antalya - Muratpaşa / Eski Sanayi Oto Ekspertiz,Bağımsız,Antalya,Muratpaşa,"Cumhuriyet, Akın Cd. No:51, 07010 Muratpaşa/Antalya, Türkiye",0850 480 3993,,,,https://maps.google.com/?cid=16876502217052922618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Pilot Garage Antalya Muratpaşa Güzeloba Oto Ekspertiz,Pilot Garage,Antalya,Muratpaşa,"Fener, Tekelioğlu Cd. No:19, 07160 Muratpaşa/Antalya, Türkiye",0552 825 06 07,,,,https://maps.google.com/?cid=15986603248921072886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,5",,,EVET,HAYIR,0,,,,
Oto Analiz Muratpaşa - Oto Ekspertiz,Bağımsız,Antalya,Muratpaşa,"Opet petrol ici, Fener, Tekelioğlu Cd. No:19, 07160, 07160 Muratpaşa/Antalya, Türkiye",0552 825 06 07,,,,https://maps.google.com/?cid=6007935446161668026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,9",,,EVET,HAYIR,0,,,,
Pilot Garage Oto Ekspertiz,Pilot Garage,Antalya,Muratpaşa,"Konuksever, Gazi Blv. No:268, 07310 Muratpaşa/Antalya, Türkiye",0546 113 30 47,,,,https://maps.google.com/?cid=1224332947410162771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,2",,,EVET,HAYIR,0,,,,
PİLOT GARAGE SERİK OTO EKSPERTİZ ANAYOL D400,Bağımsız,Antalya,Serik,"Yeni, Serik Cd. No:85/A, 07500 Serik/Antalya, Türkiye",0539 372 80 90,,,,https://maps.google.com/?cid=16066913887566094244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,9",,,EVET,HAYIR,0,,,,
TamTespit Serik OTO Ekspertiz,Bağımsız,Antalya,Serik,"Merkez, azmi akman caddesi, 07500 Serik/Antalya, Türkiye",0545 731 26 99,,,,https://maps.google.com/?cid=15126750604786159966&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
SERİK ASOTO EKSPERTİZ,Bağımsız,Antalya,Serik,"Akçaalan, KASAP MEHMET APT 190 A, 07500 Serik/Antalya, Türkiye",0545 509 98 07,,,,https://maps.google.com/?cid=13827997199707147969&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Serik Ekspertiz Prime Computest (TSE)KURUMSAL BAYİİ,Computest,Antalya,Serik,"serik sanayi girişi, Kürüş, merkez sokak no:160\102, 07500 Serik/Antalya, Türkiye",,,,,https://maps.google.com/?cid=17955738569178342080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
SERİK PRİME COMPUTEST OTO EKSPERTİZ OTOGAR ŞUBE,Computest,Antalya,Serik,"ORTA MAH. SERİK CAD, ZİHNİ BAŞARAN TRAKTÖR BAYİİ YANI. KURUMSAL OTO EKSPERTİZ, Gedik, ÖĞRETMENEVİ KAVŞAĞI NO:16, 07500 Serik/Antalya, Türkiye",0536 635 96 52,,,,https://maps.google.com/?cid=15975276081237861371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
UMRAN OTO EKSPERTİZ - SERİK,Bağımsız,Antalya,Serik,"Akçaalan, Yeni, Serik Cd. No: 157, 07500 Serik/Antalya, Türkiye",0533 348 10 07,,,,https://maps.google.com/?cid=4149201857356306697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,4",,,EVET,HAYIR,0,,,,
arabam.com Oto Ekspertiz & Trink Sat Alım Noktası Serik/Antalya,Arabam.com Oto Ekspertiz,Antalya,Serik,"Akçaalan, 4116. Sk. No:1/1, 07500 Serik/Antalya, Türkiye",0850 759 9000,,,,https://maps.google.com/?cid=8788093514088020589&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,8",,,EVET,HAYIR,0,,,,
Serik Ekspertiz,Bağımsız,Antalya,Serik,"Kökez, 3155. Sk. No:2, 07500 Serik/Antalya, Türkiye",0532 322 59 73,,,,https://maps.google.com/?cid=17230674256928160244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,7",,,EVET,HAYIR,0,,,,
DYNOBİL SERİK EKSPERTİZ (Anayol üzeri),Bağımsız,Antalya,Serik,"kasap mehmet Aprt, Akçaalan, serik_1 cad No:190 D:11 no:1, 07500 Serik/Antalya, Türkiye",0537 680 10 84,,,,https://maps.google.com/?cid=4800152119317024086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,6",,,EVET,HAYIR,0,,,,
AUTOEXPER - Serik Oto Ekspertiz,AutoExper,Antalya,Serik,"Kürüş, Merkez Sok No:155/1, 07500 Serik/Antalya, Türkiye",0532 315 93 84,,,,https://maps.google.com/?cid=5981755470508967727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,,,EVET,HAYIR,0,,,,
Garantili Arabam Serik Oto Ekspertiz,Bağımsız,Antalya,Serik,"Orta, Serik Cd. no 127, 07400 Serik/Antalya, Türkiye",0546 218 67 85,,,,https://maps.google.com/?cid=3243816666291908790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3,4",,,EVET,HAYIR,0,,,,
DYNOBİL SERİK EKSPERTİZ,Bağımsız,Antalya,Serik,"Akçaalan, 4127. Sk., 07500 Serik/Antalya, Türkiye",,,,,https://maps.google.com/?cid=36675374835445902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,,,EVET,HAYIR,0,,,,
Serik eksper,Bağımsız,Antalya,Serik,"Orta, Serik Cd. No:93, 07500 Serik/Antalya, Türkiye",,,,,https://maps.google.com/?cid=6328484864150151064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,,,EVET,HAYIR,0,,,,
Yamanlar Antalya Muratpaşa Oto Ekspertiz,Bağımsız,Antalya,Muratpaşa,"Demircikara, Burhanettin Onat Cd. Ak Sitesi No:45/A A Blok, 07100 Muratpaşa/Antalya, Türkiye",0530 080 34 74,,,,https://maps.google.com/?cid=8406815128757027120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
Yamanlar Oto Ekspertiz Kepez,Bağımsız,Antalya,Kepez,"Kültür, Hürriyet Cd. No:28F D:1, 07090 Kepez/Antalya, Türkiye",0555 491 90 90,,,,https://maps.google.com/?cid=6157888917440194391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4,7",,,EVET,HAYIR,0,,,,
